address,reason
# Example blacklist entries - remove the # to activate
# EQBb_iaNwrbG4i4aKfyewaaiG6vDBivKl7uNZ0LlyfYSJY-V,Test contract
# EQBA5xGiSCpqZ5omfaPeCwiV6E00_yu1sLJMt42cwqAZboiW,Invalid data
EQDnmJmNzDc3PbMrDgQmp_gcXOaSKpxQPKxqfbxSUVzCmV6P, block
EQBpnfShfyIW-4eliuiqZIVjfEobvZaxNC8P5IOG5sc_lyxu, block
EQD7yUzLfUMF2y7P2hYyGUSlYUOcDeDeKkOtb2Hf4930DISP, block
EQDLwkyWKUdASdmjpttUs5EVV9896Hx6rsZChA68RSzecj_0, block
EQf_8GAl7QmuyKtPK-uOulVMvfZF_ZEeMGIU9Pgcye1Q6J1RP, block
EQAhKfGFedVNYOhJrwkKOhdTPB1HLfP0VsCuP8wVMTOVGbxV, block
Ef_PV5jrIVZMG4LTXUPATGIa7xHkqwfcFh0ZYqpQlLlz3cah, block
EQCuZrtn3xBue3ychIblOxkCMXEY11aUt4rKwzeeVSOq-x4Y, block
Ef_8GAl7QmuyKtPK-uOulVMvfZF_ZEeMGIU9Pgcye1Q6J1RP, block
Ef_FqnbpAWYMgLk-ZeGQJxY2DighJMy1P8fxrf3iJQ7LUnIq, block
Ef_fNppVxuCmLW23JB3cedrlEkCjH10PnApKi2XhucjoEUo1, block
Ef8tS9bVYF9TDRjpeRU-ZJ5TMv4bHh36KzMM_YLl3i94Zuph, block
Ef9o0nYR45EYDFiqj-uXmhhv5-SJAhOyaQNGEZWsmaUvrdmp, block
Ef_ZD7YHfXmeS9dxPOFzOy42cv4LVaz8aie4AZ07RAjbAHZx, block
EQBls-1WzVkqzKSgo96_CJ9wOmRAgWju3teBUEEIN6fvYHtZ, block
Ef8-smjah5xqO_tim8_KhhZNYX38JzCp9cqPnMYfRikpF0Mb, block
EQD64ShstPQ8_n-wAMnZli7V6tvC__L_IYeq9_cZ_xl40Evb, block
EQC82y6Zsvl_iv3w9vmW8FiayugQfI0D8dHTGyEJ2GhUeRnO, block
EQDrKbI8Ch0Fndv5TnMR2P--4iqWEgF195j1bVdwwIOgccAe, block
EQBb_iaNwrbG4i4aKfyewaaiG6vDBivKl7uNZ0LlyfYSJY-V, block
EQBbdic9-YXbDiA_fTYO9ImQn_uARJ6Vwlzps3cSNBxN0pDa, block
EQCommWIgtPmAHlXWL7glGTqq8D6HKhnNQWjph5ozsz5wDio, block
EQAAzhLuDCaaUwhsRsivQogGtgHbwQ7fZHqZ7ZzHQegxZyGJ, block
EQDw45eTstjwq0lekw7JhZ_lXh7OQvgm7l5ECNjSCq41u9Dr, block
EQCufmEfMOiP1SFMCZwKXpKEWn34vei9EYT2f0YNPqhdObDt, block
Ef8FZAEB4WbDpbjV69UQt0x_ydfim54hVZ-iTrlNZPJbrTm0, block
Ef-g1gJk4GwsvSpD61-NZqDXZ6kOZAy1RibvHJOxKjqj5Mv7, block
EQD6MJ62cQQKIH7IT_9M7m2Rein99Yf9zts3aoBiwxMzdbG6, block
EQBD8qmpK3igdGxLPkIAEA-0lWJr2NlYHB5gM4JFttv0s8k0, block
EQA1wVl1DevRePpfAv97wvBOwQ68HyT4-QHXaXqgnb9k0AKi, block
EQAzyD0NJFq0HitgdPvmjnozTj-KbginbL13rrz1MNgiiyw3, block
Ef_Q7LCFOgaEchWk-N0mBhwH3ooEacgcn_Z_onB6Kn30nZtc, block
EQBMYmuzam1F0FTZjSDhTZ7KoH1_jTKYVH3aF4CKh3qkUUVH, block
Ef9LNxblNUdbkF8ipLaVhUpFl9dz-hC2f7OJ432hatB6TXVe, block
EQD_vWjlOqkwBNXA9QLXNmCal-NIgVTHCPWHSiQBXQFgeMnr, block
EQC61KZjX4v5KdPn6_TIboRme6g1B4II0zsnU3i4GMl6Rs89, block
EQBC8azvD8946ZU_ULbasKTlun0xN-hKqoh3ARsRHkaBH4iw, block
EQArjn7ydMQvDP1vSmigrV5-blnTe_wuEfWWQwkbDxqVwARS, block
